,text,emotion,target_utterance,context_utterances,full_text,text_cleaned
0,"Are aajkal to Chhoti Chhoti Baton per gussa karne Lag Gai Hai. parso mein sirf ek ghanta kam per late aya to mujhe dantne Lag Gai. ""vitthal ya Sarkari office hai? Vitthal Tum government servant ho?"". bhala aap hi sochiye Ek izzatdaar, Imaandaar aadami ko government servant Bulana acchi baat hai? Sahil baba aap bolte the Radha Bai Mera Ek shirt dholo. ""Us department mein jao"", aisa maine aapko Kabhi bola tha? aur jab aap apni girlfriend ko Chori chupi Ghar late the to Kamre ke bahar pehra Mein deta tha. kabhi main aapse chai Pani Manga?",2,aur jab aap apni girlfriend ko Chori chupi Ghar late the to Kamre ke bahar pehra Mein deta tha. kabhi main aapse chai Pani Manga?,"Are aajkal to Chhoti Chhoti Baton per gussa karne Lag Gai Hai. parso mein sirf ek ghanta kam per late aya to mujhe dantne Lag Gai. ""vitthal ya Sarkari office hai? Vitthal Tum government servant ho?"". bhala aap hi sochiye Ek izzatdaar, Imaandaar aadami ko government servant Bulana acchi baat hai? Sahil baba aap bolte the Radha Bai Mera Ek shirt dholo. ""Us department mein jao"", aisa maine aapko Kabhi bola tha?","Are aajkal to Chhoti Chhoti Baton per gussa karne Lag Gai Hai. parso mein sirf ek ghanta kam per late aya to mujhe dantne Lag Gai. ""vitthal ya Sarkari office hai? Vitthal Tum government servant ho?"". bhala aap hi sochiye Ek izzatdaar, Imaandaar aadami ko government servant Bulana acchi baat hai? Sahil baba aap bolte the Radha Bai Mera Ek shirt dholo. ""Us department mein jao"", aisa maine aapko Kabhi bola tha? aur jab aap apni girlfriend ko Chori chupi Ghar late the to Kamre ke bahar pehra Mein deta tha. kabhi main aapse chai Pani Manga?",ajkal tu chuti chuti batun per gusa karn lag gai hai parsu mein sirf ek ghanta kam per late aya tu mujh dantn lag gai vithal ya sarkari ufic hai vithal tum guvern servant hu bhala ap hi suchiy ek ijatdar imandar adami ku guvern servant bulana achi bat hai sahil baba ap bult radha bai mera ek shirt dhulu us depart mein jau aisa main apku kabhi bula tha aur jab ap apni girlfriend ku churi chupi ghar late tu kamr ke bahar pehra mein deta tha kabhi main aps chai pani manga
1,sard dard kyu hai? Bas tension ki wajah se! isne apni photographs director raj gopal sharma ki offfice mei di hai. uski aane waali film naya don ke liye toh fir iski photographs dekh kar tension unhe hona chaiye isse kyun? Thanks! dad ke replacement,2,Thanks! dad ke replacement,sard dard kyu hai? Bas tension ki wajah se! isne apni photographs director raj gopal sharma ki offfice mei di hai. uski aane waali film naya don ke liye toh fir iski photographs dekh kar tension unhe hona chaiye isse kyun?,sard dard kyu hai? Bas tension ki wajah se! isne apni photographs director raj gopal sharma ki offfice mei di hai. uski aane waali film naya don ke liye toh fir iski photographs dekh kar tension unhe hona chaiye isse kyun? Thanks! dad ke replacement,sard dard kyu hai ba tensiun ki vajah se isn apni phutugraph directur raj gupal sharma ki ufic mei di hai uski ane vali film naya dun ke liy tuh fir iski phutugraph dekh kar tensiun unh huna chaiy ise kyun thank dad ke replac
2,"Hass kya raha hai tu Rosesh! Aray teri kavita sunn kar to tera gala ghot kar maar daalne ka dil kiya tha mujhe! Meri kavita mein kya boora tha? I'll tell you... Tumhaari kavita mein ek to, 1st shabdh boora tha, baad mein 2nd shabdh bhi boora tha... 3rd, 4th, 5th haala ki itne boore nahi the... 6th, 7th, 8th, haan, correct, vo bhi boore the.... Lekin, lekin, Rosesh, 9th, 10th, 11th, bohot boore the!",2,"I'll tell you... Tumhaari kavita mein ek to, 1st shabdh boora tha, baad mein 2nd shabdh bhi boora tha... 3rd, 4th, 5th haala ki itne boore nahi the... 6th, 7th, 8th, haan, correct, vo bhi boore the.... Lekin, lekin, Rosesh, 9th, 10th, 11th, bohot boore the!",Hass kya raha hai tu Rosesh! Aray teri kavita sunn kar to tera gala ghot kar maar daalne ka dil kiya tha mujhe! Meri kavita mein kya boora tha?,"Hass kya raha hai tu Rosesh! Aray teri kavita sunn kar to tera gala ghot kar maar daalne ka dil kiya tha mujhe! Meri kavita mein kya boora tha? I'll tell you... Tumhaari kavita mein ek to, 1st shabdh boora tha, baad mein 2nd shabdh bhi boora tha... 3rd, 4th, 5th haala ki itne boore nahi the... 6th, 7th, 8th, haan, correct, vo bhi boore the.... Lekin, lekin, Rosesh, 9th, 10th, 11th, bohot boore the!",kya raha hai tu rusesh aray teri kavita sun kar tu tera gala ghut kar mar daln ka dil kiya tha mujh meri kavita mein kya bura tha l tel yu tumhari kavita mein ek tu 1st shabdh bura tha bad mein 2nd shabdh bhi bura tha 3rd 4th 5th hala ki itn bure nahi 6th 7th 8th han curect vu bhi bure lekin lekin rusesh 9th 10th 1th buhut bure
3,"Mera naam hai, Padmaavati. Pyar se log mujhe, Pappu kehate hai... Tumhaara naam kya hai? Eena, Meena, Anju,.... Meri chodo! Tum Pappu kyu ho!? Pappu! Padmaavati ka short from to Paddy hona chaahiye... Pappu is just so middle class!",2,Padmaavati ka short from to Paddy hona chaahiye... Pappu is just so middle class!,"Mera naam hai, Padmaavati. Pyar se log mujhe, Pappu kehate hai... Tumhaara naam kya hai? Eena, Meena, Anju,.... Meri chodo! Tum Pappu kyu ho!? Pappu!","Mera naam hai, Padmaavati. Pyar se log mujhe, Pappu kehate hai... Tumhaara naam kya hai? Eena, Meena, Anju,.... Meri chodo! Tum Pappu kyu ho!? Pappu! Padmaavati ka short from to Paddy hona chaahiye... Pappu is just so middle class!",mera nam hai padmavati pyar se lug mujh papu kehat hai tumhara nam kya hai eena mena anju meri chudu tum papu kyu hu papu padmavati ka shurt frum tu padi huna chahiy papu su midl cla
4,sahil bhai sahil bhai . sahil bhai momma ko kuch ho gaya hai ! bohot hi odd tarah se behave kar rahi hai aisa behave karte hue meine pehle kabhi nahi dekha hai yaani maya acha behave kar rahi hai tch strange!,2,yaani maya acha behave kar rahi hai tch strange!,sahil bhai sahil bhai . sahil bhai momma ko kuch ho gaya hai ! bohot hi odd tarah se behave kar rahi hai aisa behave karte hue meine pehle kabhi nahi dekha hai,sahil bhai sahil bhai . sahil bhai momma ko kuch ho gaya hai ! bohot hi odd tarah se behave kar rahi hai aisa behave karte hue meine pehle kabhi nahi dekha hai yaani maya acha behave kar rahi hai tch strange!,sahil bhai sahil bhai sahil bhai muma ku kuch hu gaya hai buhut hi ud tarah se behav kar rahi hai aisa behav kart hue mein pehl kabhi nahi dekha hai yani maya acha behav kar rahi hai tch strang
5,"Maine soocha ki bechaare baccho ki thodi bohot madat ho jayegi, hain na Daddyji. Waisa isme koi scheme teme chal raha hain kya? Scheme? Matlab ye bol raha hain ki wo scheme teme jahan wo koi filmstar ke saath dinner Ya phir saalbhar ke liya kuuch Cola aisa kuch Well wo hum aapko humaare society ka life patron bana deenge Matlab aap mujhe ek flat deengi free mein apne housing society mein?",1,Matlab aap mujhe ek flat deengi free mein apne housing society mein?,"Maine soocha ki bechaare baccho ki thodi bohot madat ho jayegi, hain na Daddyji. Waisa isme koi scheme teme chal raha hain kya? Scheme? Matlab ye bol raha hain ki wo scheme teme jahan wo koi filmstar ke saath dinner Ya phir saalbhar ke liya kuuch Cola aisa kuch Well wo hum aapko humaare society ka life patron bana deenge","Maine soocha ki bechaare baccho ki thodi bohot madat ho jayegi, hain na Daddyji. Waisa isme koi scheme teme chal raha hain kya? Scheme? Matlab ye bol raha hain ki wo scheme teme jahan wo koi filmstar ke saath dinner Ya phir saalbhar ke liya kuuch Cola aisa kuch Well wo hum aapko humaare society ka life patron bana deenge Matlab aap mujhe ek flat deengi free mein apne housing society mein?",main sucha ki bechar bachu ki thudi buhut madat hu jayegi hain na dadyji waisa ism kui scheme teme chal raha hain kya scheme matlab ye bul raha hain ki vu scheme teme jahan vu kui filmstar ke sath diner ya phir salbhar ke liya kuch cula aisa kuch wel vu hum apku humar sucieti ka life patrun bana deng matlab ap mujh ek flat dengi fre mein apn huse sucieti mein
6,"Champagne kholo! Come on! Open the bottle! Yes of course! Absolutely! Champagne! Yaani devil's drink! Oh part Ridicule, iske ek glass mein 326 calories hoti hai, samjha! Kutte ka role to gaya haat se, ab bhaise ka role bhi koi nahi dega.",2,"Oh part Ridicule, iske ek glass mein 326 calories hoti hai, samjha! Kutte ka role to gaya haat se, ab bhaise ka role bhi koi nahi dega.",Champagne kholo! Come on! Open the bottle! Yes of course! Absolutely! Champagne! Yaani devil's drink!,"Champagne kholo! Come on! Open the bottle! Yes of course! Absolutely! Champagne! Yaani devil's drink! Oh part Ridicule, iske ek glass mein 326 calories hoti hai, samjha! Kutte ka role to gaya haat se, ab bhaise ka role bhi koi nahi dega.",champagn khulu cume un open butl ye uf curs absulut champagn yani devil drink oh part ridicul isk ek gla mein 326 caluri huti hai samjha kute ka rule tu gaya hat se ab bhais ka rule bhi kui nahi dega
7,"No, I mean, Monisha door to door jaa ke, logonko jokes suna rahi hai! Votes jeetane ke chakkar mein. Bruce Lee ki gujarathi bahan ka naam kya, 'Rootli'. Uhh, can you believe it. Aur, surprising thing is, apani building vaale, has rahe the aise jokes pe. Momma, kisi ne sach hi kaha hai, laughter is the best medicine. Jab laughter classy ho tab. Middle class is just..., noise! 'Hahaha' kar ke hasate hai, Monisha ke C-grade jokes par.",2,"Middle class is just..., noise! 'Hahaha' kar ke hasate hai, Monisha ke C-grade jokes par.","No, I mean, Monisha door to door jaa ke, logonko jokes suna rahi hai! Votes jeetane ke chakkar mein. Bruce Lee ki gujarathi bahan ka naam kya, 'Rootli'. Uhh, can you believe it. Aur, surprising thing is, apani building vaale, has rahe the aise jokes pe. Momma, kisi ne sach hi kaha hai, laughter is the best medicine. Jab laughter classy ho tab.","No, I mean, Monisha door to door jaa ke, logonko jokes suna rahi hai! Votes jeetane ke chakkar mein. Bruce Lee ki gujarathi bahan ka naam kya, 'Rootli'. Uhh, can you believe it. Aur, surprising thing is, apani building vaale, has rahe the aise jokes pe. Momma, kisi ne sach hi kaha hai, laughter is the best medicine. Jab laughter classy ho tab. Middle class is just..., noise! 'Hahaha' kar ke hasate hai, Monisha ke C-grade jokes par.",nu mean munisha dur tu dur ja ke lugunku juke suna rahi hai vute jetan ke chakar mein bruce le ki gujarathi bahan ka nam kya rutli uh yu believ aur surpris thing apani build vale rahe ais juke pe muma kisi ne sach hi kaha hai laughter best medicin jab laughter clasi hu tab midl cla nuis hahaha kar ke hasat hai munisha ke c grade juke par
8,keep quiet both of you please sahil tum jaa kar ke wo belt le aao please ye monisha ki bacchi le ayegi na . dewar ki chamchi. come on get his belt monisha wahan bargain mat karna please,2,monisha wahan bargain mat karna please,keep quiet both of you please sahil tum jaa kar ke wo belt le aao please ye monisha ki bacchi le ayegi na . dewar ki chamchi. come on get his belt,keep quiet both of you please sahil tum jaa kar ke wo belt le aao please ye monisha ki bacchi le ayegi na . dewar ki chamchi. come on get his belt monisha wahan bargain mat karna please,kep kuiet buth uf yu pleas sahil tum ja kar ke vu belt le au pleas ye munisha ki bachi le ayegi na devar ki chamchi cume un get belt munisha vahan bargain mat karna pleas
9,"Indravardhan se jyaada immature aur irritating duniya mein koi nahi ho sakta! Sahil ye dekho gobi mil gayi! Drawer mein thi. I'm sorry, Monisha ho sakti hai. Kya? Monisha beta, ye gobi drawer mein kaise pahuchi?",0,"Monisha beta, ye gobi drawer mein kaise pahuchi?","Indravardhan se jyaada immature aur irritating duniya mein koi nahi ho sakta! Sahil ye dekho gobi mil gayi! Drawer mein thi. I'm sorry, Monisha ho sakti hai. Kya?","Indravardhan se jyaada immature aur irritating duniya mein koi nahi ho sakta! Sahil ye dekho gobi mil gayi! Drawer mein thi. I'm sorry, Monisha ho sakti hai. Kya? Monisha beta, ye gobi drawer mein kaise pahuchi?",indravardhan se jyada imatur aur irit duniya mein kui nahi hu sakta sahil ye dekhu gubi mil gayi draver mein thi suri munisha hu sakti hai kya munisha beta ye gubi draver mein kais pahuchi
